,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,score,user score,developer,players,critics,users
0,Wii Sports,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,76,8.0,Nintendo,No Online Multiplayer,51,429
1,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,82,8.4,Nintendo,Up to 12 ,73,982
2,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,80,8.1,Nintendo,1-4 ,73,266
3,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,89,8.5,Nintendo,No Online Multiplayer,65,639
4,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,87,8.3,Nintendo,No Online Multiplayer,80,767
5,Mario Kart DS,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,91,8.7,Nintendo,No Online Multiplayer,64,657
6,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,80,7.4,Nintendo,No info,33,64
7,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,61,6.3,GoodScienceStudio,2 ,45,118
8,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,97,8.3,RockstarNorth,Up to 16 ,50,4568
9,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95,9.1,RockstarNorth,1-2 ,80,2444
10,Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,97,8.3,RockstarNorth,Up to 16 ,58,3905
11,Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95,8.8,RockstarNorth,1 Player,62,1092
12,Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95,8.4,PolyphonyDigital,1-2 ,54,386
13,Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,88,3.5,"InfinityWard,SledgehammerGames",Up to 18 ,81,8597
14,Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,87,6.6,Treyarch,Up to 18 ,89,1617
